LABELS;S_6;S_8;C_6;S_2;C_8;S_1;C_2;S_9;C_9;C_1;S_4;C_4;S_7;S_5;C_7;S_3;C_5;C_3;S_0;C_0
JOB ID;6;8;6;2;8;1;2;9;9;1;4;4;7;5;7;3;5;3;0;0
EVENT TYPE;0;0;1;0;1;0;1;0;1;1;0;1;0;0;1;0;1;1;0;1
TIME;0.0;1.25;1.399739583333323;2.7896;2.7896;6.485200000000001;6.485200000000001;6.93;9.984370556252614;11.800000000000006;12.24;14.135072463768111;14.47;15.200000000000001;15.761833333333334;16.26;16.779268292682907;19.99031999999999;19.990319999999997;21.727119999999996
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;43.420000000000186;-1.8474111129762605e-13;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;11.119999999999862;3.32926390631535;45.390736093684794;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;92.39;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.723707317072751;80.27629268292725;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;32.69;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;1.1368683772161603e-13;0.0;0.0;0.0;0.0;0.0;0.0;4.607033333333339;4.0849666666666735;4.257999999999839;0.0;0.0;0.0;0.0
RESOURCE JOB 6;19.2;2.3000000000000007;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.731199999999983;9.438800000000018;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;1.4434895833330756;34.74651041666692;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73.03;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
