LABELS;S_2;S_8;S_4;S_3;S_0;C_3;C_2;C_8;S_7;S_5;C_0;S_6;C_7;S_9;C_4;C_5;S_1;C_6;C_9;C_1
JOB ID;2;8;4;3;0;3;2;8;7;5;0;6;7;9;4;5;1;6;9;1
EVENT TYPE;0;0;0;0;0;1;1;1;0;0;1;0;1;0;1;1;0;1;1;1
TIME;0.0;0.0;0.35000000000000053;0.6100000000000003;1.4899999999999998;1.7017808219178086;1.9049783162387304;2.159881569207994;2.26;2.32;2.787151734601167;2.787151734601169;3.579011949439442;3.579011949439443;3.859015256588073;4.171321585903083;4.216575250118416;4.216575250118416;5.422706094090406;7.06
RESOURCE JOB 0;0.0;0.0;0.0;0.0;8.426758904109654;12.622628347215667;15.83459007445066;6.219356920799385;3.7272000000000105;29.01946575342462;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.660244638378153;0.0;26.769755361621847;0.0
RESOURCE JOB 2;7.6684999999999945;0.0;5.696600000000004;19.280799999999992;0.6522849315068463;2.0218150684931615;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;25.695999999999987;6.184000000000017;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;3.749200000000008;12.689599999999993;3.0538794520547707;2.9301078681076898;3.6757049078167796;1.4437077720207263;0.8652000000000015;6.7363280129488246;0.0;11.418624297967916;4.037647689083251;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.241737750178594;0.0;7.190090750731525;2.542430028909571;0.0;2.835741470180295;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;30.8825483786927;15.951788408257443;0.0;18.679041556330787;2.706621656719065;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.4076000000000022;6.717641943564715;0.0;29.694758056435262;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;4.728500000000001;0.0;3.5125999999999955;11.888799999999991;2.8611589041095975;2.745198148275655;3.4437429476147514;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.468464588612761;0.0;9.715849904989966;1.8187447648142552;76.51694074158301;0.0;0.0;0.0
