LABELS;S_8;S_7;S_1;C_8;S_0;C_7;S_6;C_1;C_0;S_2;S_9;S_4;C_6;S_3;C_2;C_9;C_4;S_5;C_3;C_5
JOB ID;8;7;1;8;0;7;6;1;0;2;9;4;6;3;2;9;4;5;3;5
EVENT TYPE;0;0;0;1;0;1;0;1;1;0;0;0;1;0;1;1;1;0;1;1
TIME;0.05999999999999865;0.10999999999999921;1.2799999999999963;1.4017578538651627;2.51;2.7229032258064496;3.01;3.122925026399151;3.9015952751817222;4.16;4.300000000000001;4.59;4.59;5.41;5.709662162162159;5.961884085331312;7.000217557574632;7.000217557574632;7.75355125846872;8.383509295159923
RESOURCE JOB 0;0.0;0.0;0.0;0.0;6.0315483870966204;17.834451612903365;4.422144033790687;61.63185596620933;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;4.612187504412503;41.980212495587665;8.064774193548317;10.875225806451681;4.277599999999836;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.14400000000002;8.583999999999964;24.27200000000002;0.0;8.869999999999994;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5573716216212006;7.485946679660458;30.817737456181767;0.0;22.358944242536573;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.292599999999965;0.0;4.665739864864818;4.3760503669848845;73.01560976815033;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;52.974425846872236;46.92557415312777;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;2.592758606124505;16.23516891204786;5.932972481827658;3.2143999999999977;5.054699999999979;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;-1.4921397450962104e-13;39.534299999999895;4.11419788210398;37.447502117896235;7.194000000000045;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;2.586499999999994;60.52409999999984;3.4494000000001677;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.361299999999943;43.435400000000016;0.0;15.87310472972996;13.360195270270083;0.0;0.0;0.0;0.0;0.0
