LABELS;S_9;S_8;S_2;S_1;C_8;S_5;C_9;S_6;C_2;C_5;S_0;C_1;S_3;C_6;S_7;C_0;S_4;C_3;C_4;C_7
JOB ID;9;8;2;1;8;5;9;6;2;5;0;1;3;6;7;0;4;3;4;7
EVENT TYPE;0;0;0;0;1;0;1;0;1;1;0;1;0;1;0;1;0;1;1;1
TIME;0.15999999999999998;0.2999999999999997;0.7299999999999999;1.64;1.6400000000000001;1.9100000000000004;2.4762079735519547;2.4800000000000004;3.0715844427042542;3.2899999999996687;3.2900000000003193;3.65;3.65;4.473871291835205;4.473871291835205;4.525256410256408;4.839999999999997;5.676001748503154;6.170208648321739;6.542058768796918
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.616000000005165;-5.144329406903125e-12;0.0;12.852392152629193;0.0;0.8016078473707751;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;11.364300000000014;21.659973507621554;0.15960639319823144;22.900609292602333;9.193110806591363;15.152400000013927;-2.7399394326569778e-11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;21.98600000000002;0.0;10.343700000000005;21.691427466775394;0.1452725332246274;22.66359999999996;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;34.84151693171073;0.0;3.0229865167194134;18.516365384615312;43.589131166954544;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;27.64657782299939;16.343422177000612;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;8.97439638079847;0.06010361920152718;7.873613416872949;3.461886583132319;0.0;-5.265121671982342e-12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.720621560950136;9.186558339882843;15.159600000013938;-2.7398527890909463e-11;0.0;34.693220099180486;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.3139174780301914;12.95799358974358;12.364465860361676;33.0772678048578;25.51635526700676;0.0
RESOURCE JOB 8;0.0;32.20700000000001;63.462999999999994;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;3.303999999999996;10.148000000000003;5.551000000000001;0.0;5.292000000000009;4.294999999999991;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
