LABELS;S_0;S_1;S_8;S_5;C_0;S_7;C_8;C_7;S_2;S_4;C_5;S_9;C_2;C_1;S_3;S_6;C_4;C_9;C_3;C_6
JOB ID;0;1;8;5;0;7;8;7;2;4;5;9;2;1;3;6;4;9;3;6
EVENT TYPE;0;0;0;0;1;0;1;1;0;0;1;0;1;1;0;0;1;1;1;1
TIME;0.0;0.5399999999999994;0.8800000000000001;1.26;1.432879377431907;1.5999999999999999;2.527679324894514;2.8616694124107633;3.05;3.305954198473284;3.305954198473284;3.89;4.066579406631762;4.12650519212907;4.966170985311106;4.966170985311106;4.9661709853111065;5.159982238010658;6.266901386413404;6.915696187448756
RESOURCE JOB 0;5.551199999999993;3.495200000000007;3.9063999999999965;1.7772000000000043;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;10.869800000000023;12.148599999999995;3.756668871595341;3.63153112840466;20.15847172995782;7.257604601728097;4.092423668314112;5.561884732824467;18.67194427480912;0.0;5.645243630017404;1.9158273623489421;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.9332351145038444;6.693164885496174;0.0;2.023599999999981;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.855170071912852;0.0;60.92482992808715;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33.039470992366304;0.0;3.0301026178010466;1.7150759809330083;50.875350408899635;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;9.295724124513626;10.704075875486332;25.631779746835353;13.977485162555062;14.740635090609587;17.100300000000043;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.887853729153022;0.0;49.76708491218744;39.26506135865954;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;33.78608101265826;12.163918987341745;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;5.403599999999999;2.4583447470817243;2.3764552529183116;13.191599999999966;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.958994415357773;2.361675206448915;33.09122890930398;0.0;7.638101468889374;0.0;0.0;0.0;0.0
