LABELS;S_5;S_0;C_5;S_7;S_4;C_0;S_3;S_9;S_8;S_6;C_7;S_2;C_8;S_1;C_4;C_6;C_3;C_9;C_2;C_1
JOB ID;5;0;5;7;4;0;3;9;8;6;7;2;8;1;4;6;3;9;2;1
EVENT TYPE;0;0;1;0;0;1;0;0;0;0;1;0;1;0;1;1;1;1;1;1
TIME;0.26;0.41;1.8384630688883334;1.8799999999999997;2.2900000000000005;2.3674330164217796;2.4800000000000004;2.62;2.63;3.09;3.1519242902208173;3.940885608856089;3.940885608856089;5.091882755669662;5.091882755669662;5.2181407035175855;5.399745860608395;5.399745860608395;5.68280804257799;7.194232628793639
RESOURCE JOB 0;-1.3145040611561853e-13;66.10927082815213;1.922329171847906;18.974800000000158;3.583599999999933;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.445616449814281;3.5176918928489584;12.8000718686651;0.0;68.34661978867166;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24.757948627959934;0.0;4.552861599396124;6.211967490820339;10.2072222818236;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;2.9665999999999926;0.21190000000000708;6.0398;0.3201485804416077;16.583966917713536;0.0;24.389629540979612;0.0;1.3433845651019212;3.714570395763321;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;1.8096095937769832;2.6306904062230245;3.271800000000063;0.2336999999999918;10.750200000000007;1.4471706624604934;18.438026016506115;0.0;26.898803321033213;0.0;0.0;0.0;1.1368683772161603e-13;0.0;0.0;0.0
RESOURCE JOB 5;6.031500000000115;57.438499999999884;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.49291735015770005;6.280132096336789;0.0;9.161937288636043;0.0;1.0050132648694685;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;6.4985;1.2273133102851972;1.7841866897148009;2.218999999999994;0.15849999999999653;7.290999999999997;0.981499999999987;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.972799999999992;1.342518611987326;17.104681388012683;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25969999999999516;11.946200000000005;1.6081738170346256;20.48932544495804;0.0;29.891395902748485;0.0;3.2789189056105954;4.716285929648251;0.0;0.0;0.0;0.0
