LABELS;S_1;S_2;S_7;C_7;S_4;S_5;S_8;C_2;S_9;C_1;C_5;S_6;C_8;C_4;C_9;S_0;S_3;C_6;C_0;C_3
JOB ID;1;2;7;7;4;5;8;2;9;1;5;6;8;4;9;0;3;6;0;3
EVENT TYPE;0;0;0;1;0;0;0;1;0;1;1;0;1;1;1;0;0;1;1;1
TIME;0.0;0.0;0.49999999999999994;1.6892193308550147;1.6892193308550154;1.9399999999999982;2.2000000000000006;2.3373542420587063;2.4;2.844610376029227;3.5358158995815883;4.165800723446232;4.165800723446233;4.42322505821164;5.190114348948727;5.2;5.47;5.909023425916894;6.633882037416576;8.437652495378924
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.69569999999996;3.134627261046461;26.02967273895358;0.0;0.0
RESOURCE JOB 1;0.0;21.42;25.36604832713727;0.0;10.743443866171063;11.138400000000104;2.830870928829782;2.683744270205125;8.167492607656555;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;12.435;29.57588475836421;0.0;6.236915241635721;6.466200000000065;3.416000000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.250700405262506;23.5289105292797;58.55038906545779;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;8.09770780669151;5.28840000000006;1.6702275834338636;0.9271572175310574;5.406462172515404;21.102504634053567;26.59165941532663;10.865881170447892;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;3.1070000000000277;1.6413831926015519;0.7486168073984523;5.313093993549266;8.259906006450713;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.897778590602712;0.0;46.32011316052001;0.5970933234968925;16.307999999999993;26.517014925380394;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;63.98;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;4.1769425010053425;1.9050574989947364;13.520601535048783;21.01955997122731;19.157838493723816;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.053387294152722;18.73858174350451;17.078888574970506;6.9787737154902345;0.0;20.790368671882433;0.0;0.0;0.0;0.0;0.0;0.0
