LABELS;S_1;S_4;S_3;S_5;C_1;S_2;C_4;S_9;C_3;C_5;C_9;S_8;S_7;S_6;C_7;S_0;C_8;C_2;C_6;C_0
JOB ID;1;4;3;5;1;2;4;9;3;5;9;8;7;6;7;0;8;2;6;0
EVENT TYPE;0;0;0;0;1;0;1;0;1;1;1;0;0;0;1;0;1;1;1;1
TIME;0.0;0.0;0.7300000000000002;1.21;1.6992395626242554;1.6992395626242554;1.828843762950684;2.0300000000000002;2.647697063369395;2.82667224640107;3.357468367276832;3.39;3.8400000000000003;5.059148650463273;5.059148650463273;5.786226415094339;5.786226415094339;5.937281286424999;6.160760566398796;7.752996317438547
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.282455857597256;8.95257995575031;63.78496418665243;0.0
RESOURCE JOB 1;0.0;55.34130000000002;23.99519999999998;9.843500000000006;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;2.6076365105677226;0.0;8.54914007459594;3.329387171561038;0.9646762365407273;14.050173319581404;1.3825943907346527;19.125000000000007;6.57121122599704;0.0;22.430349038868442;0.0;6.419832031553014;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;12.422399999999993;12.66151988071573;3.3541567044479734;0.0;5.205923414836306;15.986000000000011;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;17.614900000000002;11.582399999999996;11.80535064612328;3.127349353876724;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;14.613585735586511;3.871277463750424;0.0;6.00853680066308;18.450611282843845;5.345988717156137;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;35.634081244568534;0.0;7.403199243915651;10.952719511515795;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;90.79;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.063000000000002;24.55365382033031;0.0;14.643346179669678;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24.0037078825346;11.586853349470623;39.02943876799478;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
