LABELS;S_5;S_1;S_6;S_3;S_4;S_9;S_7;C_5;S_8;S_2;C_7;S_0;C_1;C_3;C_8;C_4;C_6;C_2;C_9;C_0
JOB ID;5;1;6;3;4;9;7;5;8;2;7;0;1;3;8;4;6;2;9;0
EVENT TYPE;0;0;0;0;0;0;0;1;0;0;1;0;1;1;1;1;1;1;1;1
TIME;0.0;0.2000000000000006;0.41000000000000014;0.5400000000000001;0.6299999999999998;0.87;1.0900000000000007;1.1666666666666663;1.2599999999999996;2.089999999999998;2.1533036597428277;2.2300000000000013;2.5184117349519477;2.7290352438590237;2.7602476473501727;3.5446343429675022;3.7101718371413672;4.166818490822567;4.591964167219641;4.944237855946397
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.609090288315741;6.287111740876227;0.9316902442107846;23.413942864177287;4.941294201089875;13.630902612383807;12.690598440452634;10.515369608493643;0.0
RESOURCE JOB 1;0.0;8.303399999999982;5.1401999999999965;3.5585999999999913;9.489600000000006;8.698800000000027;3.0313999999999766;3.690400000000004;32.81819999999994;2.5030267062314806;3.0325732937685643;11.403800000000036;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9311968348170652;1.1282031651830238;4.242536621143131;3.098271816023086;0.4591344553547713;11.538328292530913;2.4350565392975554;6.717272275650444;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;2.5280999999999896;6.741599999999984;6.1798000000000215;2.1535666666666344;2.6217333333333315;23.31469999999996;1.7781998021761325;2.1544001978240104;8.10148563480017;5.9164143651997705;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;7.413600000000049;6.795800000000025;2.3682333333332934;2.883066666666678;6.731299999999983;0.45515331355094446;2.369149950544035;2.0736803743044945;6.506160190139582;0.9641511438415904;24.229705027619318;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;2.352000000000007;2.469599999999995;1.5287999999999988;1.0584000000000024;2.822400000000002;2.58720000000001;0.901599999999986;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;3.6880999999999986;2.5532999999999912;6.808800000000009;6.24140000000002;2.1750333333333347;2.6478666666666655;23.547099999999958;0.9229673590501974;2.175875173095946;7.259323368740297;5.975388947693759;0.885495887043641;22.253050554663645;4.696298709712551;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;3.100399999999958;3.774400000000007;33.56519999999993;2.5600000000001017;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33.51539999999994;2.5562017804154635;3.096998219584677;11.646065857359588;8.504977289667735;1.260356852972592;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;3.315400000000011;1.155366666666648;1.4065333333333356;12.508099999999978;0.9539861523244824;1.1558138476756028;4.34636484572583;3.174096279229637;0.4703709206115841;11.820707502953155;2.4946500372001523;6.8816650709756715;6.40694534330391;0.0;0.0
