LABELS;S_2;S_8;S_9;S_6;S_0;S_1;C_2;S_4;S_7;C_0;S_3;S_5;C_8;C_6;C_9;C_4;C_1;C_5;C_7;C_3
JOB ID;2;8;9;6;0;1;2;4;7;0;3;5;8;6;9;4;1;5;7;3
EVENT TYPE;0;0;0;0;0;0;1;0;0;1;0;0;1;1;1;1;1;1;1;1
TIME;0.0;0.19999999999999973;0.2500000000000001;0.5800000000000002;0.6199999999980113;1.03;1.425022502250224;1.425022502250224;1.425022502250224;1.9914675501851482;2.0100000000035174;2.0100000000035174;2.219011406844106;2.291953352777332;2.4026742301458666;2.6422044268953933;3.383631818660303;3.8269556840112244;4.307089640085227;5.158148148151666
RESOURCE JOB 0;0.0;0.0;0.0;0.0;21.037100000102047;20.26860459101408;29.064295409540946;0.0;-6.57067289466795e-10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;12.636769846429601;21.168051441328117;0.0;0.0;0.6925576497124553;7.8107562729585425;0.0;2.7258405195246667;4.137639187262124;8.951243452529809;27.707141630254668;0.0;0.0;0.0;0.0
RESOURCE JOB 2;11.109999999999985;2.7775000000000194;18.331500000000005;2.221999999889512;22.775500000110476;21.943499999999943;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7900631177892241;0.0;0.27572055562759523;0.4185249164530589;0.905424143713212;2.802595541000498;1.6757642110264825;1.8149063538987904;3.21700116049114;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;15.594232169648471;0.0;0.0;0.8115359775463702;9.152609504759283;0.0;3.194127812415985;4.848467219968114;10.48902731566178;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.33907680608457;0.0;1.5142747975737763;2.298565414170774;4.972646884520174;15.392032653039522;9.203403444685136;0.0;-7.395370462728813e-11;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.6859999999658898;7.031500000034109;6.774635913591343;9.71453257208395;0.0;0.0;0.317831514385027;3.584545627184854;0.0;1.2509543727548262;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;-9.520925643213673e-11;0.0;12.824315885246683;0.0;0.0;0.4195746638878788;4.732018250462438;0.0;1.6514056559282437;2.506720663623618;5.422963654409287;16.785916149557558;10.036852311544862;10.870232765434643;0.0;0.0
RESOURCE JOB 8;0.0;0.6575000000000046;4.339500000000001;0.5259999999738465;5.391500000026152;5.194545904590447;7.448752380344253;0.0;1.0043343934285076e-10;0.24370171511155547;2.7484999998533084;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;10.180500000000004;1.2339999999386322;12.648500000061354;12.186444194419416;17.474829728792407;0.0;5.566338501239443e-10;0.5717260768966881;6.448001900475546;0.0;2.2502590320400344;3.4157390668192846;0.0;0.0;0.0;0.0;0.0;0.0
