LABELS;S_9;S_4;S_6;S_5;C_9;C_4;S_8;S_2;C_6;S_3;S_0;S_7;S_1;C_5;C_8;C_7;C_0;C_2;C_3;C_1
JOB ID;9;4;6;5;9;4;8;2;6;3;0;7;1;5;8;7;0;2;3;1
EVENT TYPE;0;0;0;0;1;1;0;0;1;0;0;0;0;1;1;1;1;1;1;1
TIME;0.0;0.22;0.35;0.67;1.0826257348138462;1.295169511339723;1.32;1.56;1.5896259497369951;1.6099999999999997;1.7;1.8400000000000025;1.8899999999999986;2.000223880597014;2.7839397201291707;2.8742488979315;2.9272264352869435;3.05042859053555;3.213428034749941;3.815146602276646
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.815800000000035;0.6484999999999452;0.3824768656716433;10.164794438732073;1.1713100360962088;0.6871186595000935;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.1953902985074762;22.719922188037216;2.618063064489533;1.5358188079343051;3.571630480657106;4.725353887775199;17.443821272599166;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8926298655756639;0.6138701344243245;2.7117000000000075;4.218200000000046;1.5064999999998818;3.3144320895519854;23.613358245103875;2.7210155271841927;1.5962132005195144;3.7120809376405077;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.833100000000016;5.962600000000009;2.1294999999998367;4.694435074626966;33.378457605674555;3.846267882601211;2.2563133159683417;5.247179792038139;6.942146329090903;0.0;0.0
RESOURCE JOB 4;0.0;11.120199999999997;27.372800000000005;35.2960053559764;18.1809946440236;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;15.481717570215508;7.974642495250897;0.9316399345335995;9.004800000000001;1.111565634132056;0.7644343658679276;3.376800000000017;5.252800000000093;1.8759999999998485;4.135600000000046;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;5.475200000000002;7.060026322664903;3.6366240163577537;0.4248496609773609;4.106399999999997;0.5068999999999839;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.4744999999998853;3.2505022388061207;23.111780107803305;2.6632176533906886;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;6.6888000000000005;0.8256752191700514;0.5678247808299375;2.5083000000000055;3.9018000000000717;1.3934999999998894;3.071939552238831;21.84216044776121;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;6.736399999999996;3.980600000000031;9.798400000000008;12.634599999999963;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
