LABELS;S_4;S_7;S_9;S_6;S_8;S_5;S_0;C_4;C_7;S_2;C_8;S_3;C_9;C_6;S_1;C_5;C_0;C_2;C_1;C_3
JOB ID;4;7;9;6;8;5;0;4;7;2;8;3;9;6;1;5;0;2;1;3
EVENT TYPE;0;0;0;0;0;0;0;1;1;0;1;0;1;1;0;1;1;1;1;1
TIME;0.0;0.0;0.6799999999999998;1.0199999999999996;1.19;1.5499999999999958;1.5592190090256028;1.5592190090256033;1.84548611111111;2.15;2.2157812499999987;2.3300000000000005;2.3712751677852335;2.514041325640681;2.6199999999999974;2.8933618548164466;3.319999999999999;3.520024229837314;4.2527155245706485;4.810916030534352
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;7.992395739802932;0.0;16.382847222222267;3.5390312499999035;6.144968750000103;2.2206040268455354;7.3895763305979365;5.7005766805312135;14.70686778912497;22.95313221087514;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.07641068175535;25.090589318244724;11.763424956732507;43.089575043267416;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.9004203124999606;3.299779687500049;1.192439597315385;4.124514300443877;3.061146102240656;7.897423985647222;12.32557601435282;5.778700000000029;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2703523489932742;0.9351183339531808;0.6940293170535234;1.7905201490477403;2.7944798509522712;1.3101587054344108;4.799127980503339;3.6562133140622564;0.0
RESOURCE JOB 4;36.917199999999994;0.0;18.45859999999999;9.229300000000045;19.544399999999754;0.5005000000002298;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.33400469699773794;10.371457108557927;0.0;11.032538194444484;2.3832546874999565;4.138145312500058;1.495399328859015;5.172417899102854;3.8388827720380476;9.90389999999995;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;13.016900000000035;23.67719999999981;0.27232952661635323;16.005375428025133;0.0;21.42255208333342;2.7272906249999074;6.197509375000209;1.9692382550335528;10.931604706991578;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;27.417599999999993;0.0;13.70879999999999;6.8544000000000125;14.515199999999837;0.3717104439125194;11.542289556087646;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;4.607999999999947;0.11800331552777266;3.66421890669449;0.0;3.897777777777806;0.8419999999999845;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;9.118799999999986;4.559400000000007;9.655199999999894;0.2472538220667886;7.6776836779333095;0.0;8.167062500000021;1.7642531250000033;3.063346875000061;1.1069999999999496;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
