LABELS;S_6;S_5;S_2;S_7;S_8;S_4;S_9;C_8;C_6;C_7;S_0;C_9;S_3;S_1;C_2;C_4;C_5;C_1;C_0;C_3
JOB ID;6;5;2;7;8;4;9;8;6;7;0;9;3;1;2;4;5;1;0;3
EVENT TYPE;0;0;0;0;0;0;0;1;1;1;0;1;0;0;1;1;1;1;1;1
TIME;0.0;0.02;0.22000000000000008;0.51;0.5799999999999998;0.6699999999999996;0.9699999999999999;1.755940777297964;1.8197755960729312;2.2700000000000005;2.2700000000000022;2.3292000846964207;2.41;2.4799999999999986;2.65;2.7077754459601233;3.0200000000000005;3.528274072151565;3.569268008703975;4.444059945504087
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.090725852522674;0.0;6.392889298819199;5.5383999999999105;8.862100000000083;3.9743729275963844;24.453427072403297;40.214644588631785;3.2434402600266594;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.100200000000086;4.452175865687586;24.06002413431279;39.16759999999954;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;4.8313999999999995;1.1661999999999964;1.499399999999996;4.998000000000003;0.5599899035537206;0.8534715270212949;7.500738569425;0.9862734110423546;0.0;1.3461265889576381;1.166199999999975;2.8322000000000216;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5137999999999731;1.2478000000000122;0.42407177334730406;2.291728226652725;3.73073168959247;0.3008954942946893;6.420972816112827;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;2.8590000000000018;7.490015607649607;0.6083458229254362;4.2906385694249884;0.5641768071568833;0.0;0.7700231928431087;0.6670999999999907;1.6201000000000079;0.550599999999978;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;7.456000000000003;10.811199999999989;2.6095999999999933;2.690999999999926;6.111000000056082;12.687072177611995;2.379762043930782;16.78436577840121;2.20697915748255;0.0;3.0122208425174364;2.6095999999999577;6.337600000000037;2.153868625393386;11.63973137460664;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.2852;2.852000000000001;4.135399999999995;0.998199999999998;1.2834000000000003;4.278000000000002;11.20751548426897;0.910284515731032;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;4.069099999999995;5.231700000000059;17.439000000000014;23.29793738433046;3.710718015388835;26.17154460028064;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;7.294499999999964;24.31500000000002;63.70050000000002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;-5.6063598208311305e-11;38.24512490217805;4.304381829996032;30.358631556802393;3.9918617110795935;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
