LABELS;S_6;S_4;C_6;S_3;C_4;C_3;S_7;S_9;C_9;C_7;S_8;C_8;S_1;S_5;C_1;S_0;S_2;C_5;C_2;C_0
JOB ID;6;4;6;3;4;3;7;9;9;7;8;8;1;5;1;0;2;5;2;0
EVENT TYPE;0;0;1;0;1;1;0;0;1;1;0;1;0;0;1;0;0;1;1;1
TIME;0.0;3.101199999999999;3.1011999999999995;6.429599999999999;6.429599999999999;9.9756;9.9756;9.9756;12.658189566310497;14.9544;14.9544;18.0164;19.83;20.05;21.16022739291381;22.756576000000006;22.756576000000006;22.756576000000006;24.374067590581458;26.470576
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.777289764536363;0.0;52.412710235463635;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.835599999999893;20.994400000000105;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33.66;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;88.65;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;83.21;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.761284822845107;39.908715177154846;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;77.53;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;24.384739157762453;0.0;0.0;57.40526084223755;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;76.55;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;42.68;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
