LABELS;S_3;S_6;S_8;C_8;C_3;S_4;S_9;C_4;S_7;C_6;C_9;S_0;S_5;C_7;S_2;C_5;C_0;S_1;C_2;C_1
JOB ID;3;6;8;8;3;4;9;4;7;6;9;0;5;7;2;5;0;1;2;1
EVENT TYPE;0;0;0;1;1;0;0;1;0;1;1;0;0;1;0;1;1;0;1;1
TIME;0.0;0.0;0.0;2.3752535496957488;3.180106761565841;3.180106761565841;4.417117437722419;4.417117437722422;5.209999999999999;5.21;6.507492162189723;8.70256880733945;9.126335975826196;9.126335975826196;10.263420374803179;10.263420374803179;10.819999999999999;10.82;12.875522285631202;15.901667995376393
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.3095310682527668;6.197109974424553;0.0;0.0;3.033358957322676;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.116357256370236;0.0;75.65364274362976;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.738300115590107;32.27169988440989;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;33.7530375939308;19.3969624060692;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;17.379999999999924;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22.23;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;13.918301148462909;0.7243678906830828;13.54526690391453;0.0;0.0;8.682064056939467;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.778435727340934;54.876916128743176;8.284648143915888;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;11.71;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.791131672597828;0.0;17.658868327402132;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
