LABELS;S_7;S_1;C_7;C_1;S_3;C_3;S_4;S_8;S_9;C_4;C_8;S_6;C_9;C_6;S_5;S_0;C_5;S_2;C_0;C_2
JOB ID;7;1;7;1;3;3;4;8;9;4;8;6;9;6;5;0;5;2;0;2
EVENT TYPE;0;0;1;1;0;1;0;0;0;1;1;0;1;1;0;0;1;0;1;1
TIME;1.55;4.39;4.920975983644326;5.962448000000001;6.8500000000000005;9.550800000005758;9.550800000005758;9.550800000005758;11.045528915668408;11.04552891566841;11.152207090355457;13.315600000005755;13.315600000005755;15.766800000005755;15.93;17.7648;17.7648;21.4888;21.488800000000005;23.392400000000006
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;93.1;0.0;0.0;0.0
RESOURCE JOB 1;0.0;2.883199590964196;26.036800409035806;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.1368683772161603e-13;1.1368683772161603e-13;47.59000000000001;0.0
RESOURCE JOB 3;0.0;0.0;-1.439575214590857e-10;0.0;67.52000000014395;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.85;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;45.87;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;61.28;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;55.57879999999997;10.391200000000024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.518222891566317;1.6417771084336827;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0251772587425307;0.0;54.08482274125747;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
