LABELS;S_6;S_8;S_1;C_8;C_6;S_7;C_7;C_1;S_2;S_5;S_0;C_5;C_2;C_0;S_4;S_3;C_4;C_3;S_9;C_9
JOB ID;6;8;1;8;6;7;7;1;2;5;0;5;2;0;4;3;4;3;9;9
EVENT TYPE;0;0;0;1;1;0;1;1;0;0;0;1;1;1;0;0;1;1;0;1
TIME;0.0;0.68;1.0;1.687640878701047;3.1804613297150612;3.5900000000000003;5.814514563106792;6.121183999999991;6.121183999999991;6.121183999999991;7.629345512027484;7.629345512027484;9.112789321021394;11.47878399999999;11.47878399999999;13.15718399999999;13.15718399999999;16.898783999999992;16.898783999999992;19.081114827067662
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.5001330255351;0.0;59.149866974464906;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;4.92350869149948;26.318424551377294;10.23846675712349;37.282864077669814;7.666735922329934;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.5940378006873672;0.0;0.0;28.585962199312632;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;93.54;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;41.96;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;35.11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;5.0116000000000005;2.3584000000000005;5.067913276026733;11.002086723973267;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;18.33;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;3.3503999999999996;7.199599999999963;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;23.22;0.0
