LABELS;S_2;S_8;C_8;S_9;C_2;S_4;C_9;S_1;C_4;S_7;C_7;S_0;C_1;S_5;C_5;S_6;S_3;C_3;C_0;C_6
JOB ID;2;8;8;9;2;4;9;1;4;7;7;0;1;5;5;6;3;3;0;6
EVENT TYPE;0;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;1
TIME;0.0;0.0;1.63093289689034;3.8400000000000007;4.39209260908281;4.39209260908281;5.005577342047931;7.502399999999999;7.502399999999999;8.479999999999992;11.875893223819293;14.421999999999999;14.421999999999999;15.98;18.504416135881105;18.504416135881105;18.50441613588111;19.551853431410002;22.41;23.464932735426004
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;38.950000000000045;0.0;3.6604033970276113;0.0;1.5187840785169016;0.0;46.090812524455444;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24.43999999999984;2.2073305954825457;63.65266940451761;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;20.843322422258503;55.226677577741526;6.199999999999967;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.21;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;6.889433551198337;62.420566448801694;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;59.45000000000018;0.0;0.0;-1.7763568394002505e-13;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.457148309705573;0.0;25.362851690294505;18.819999999999922;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;82.69;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;19.93;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;7.602315227070271;0.0;8.44768477292973;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
