LABELS;S_5;C_5;S_2;S_3;C_3;S_7;S_1;C_7;S_0;C_2;C_1;C_0;S_9;C_9;S_6;S_8;C_8;S_4;C_6;C_4
JOB ID;5;5;2;3;3;7;1;7;0;2;1;0;9;9;6;8;8;4;6;4
EVENT TYPE;0;1;0;0;1;0;0;1;0;1;1;1;0;1;0;0;1;0;1;1
TIME;0.0;1.0196;1.18;2.51;3.7957857857857857;4.7;7.165965965965966;7.165965965965966;8.42037373174337;8.420373731743371;10.029676967607998;11.258399999999993;12.96;15.6868;15.686800000000005;16.160000000000004;17.883650385604113;19.414399999999997;19.414399999999997;21.837404694835676
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;30.431924190200107;0.0;30.718075809799892;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.6393432935844094;9.800656706415591;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;33.250000000000085;6.454644644644645;22.605355355355357;12.379149149149146;0.0;23.720850850850766;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;25.69;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;51.61;0.0;0.0
RESOURCE JOB 5;25.49;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.830000000000098;0.0;2.861259640102787;38.268740359897116;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;49.27;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;40.23;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;68.17000000000013;0.0;-1.2789769243681803e-13;0.0;0.0;0.0;0.0;0.0
