LABELS;S_7;S_3;S_4;C_7;C_4;C_3;S_5;S_9;C_9;S_1;C_5;C_1;S_6;S_8;S_2;C_8;S_0;C_6;C_2;C_0
JOB ID;7;3;4;7;4;3;5;9;9;1;5;1;6;8;2;8;0;6;2;0
EVENT TYPE;0;0;0;1;1;1;0;0;1;0;1;1;0;0;0;1;0;1;1;1
TIME;0.0;0.28;0.3299999999999997;1.36439393939394;2.969660056657219;3.5549600000000003;3.5549600000000003;3.5549600000000003;5.013832458410352;5.400000000000003;6.450793333333333;7.5284266240000095;8.150000000000004;8.619999999999994;9.54;10.561792782305;10.580124063670418;10.580124063670418;11.952087912087912;14.356961480151487
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;30.8005883969727;53.98941160302732;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;45.47833546666652;53.88166453333382;0.0;-3.410605131648481e-13;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.438651455180491;0.13345172834023344;0.0;9.987896816479363;0.0;0.0
RESOURCE JOB 3;0.0;1.1799999999999882;6.154643939393939;51.930358893467;29.26499716713907;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;18.257053030303044;28.33294696969696;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.803622920517562;2.5950458794824556;7.061331199999984;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22.545899999999506;30.194400000000144;26.096587660069602;0.7831123399307529;0.0;0.0;0.0;0.0
RESOURCE JOB 7;7.391999999999981;1.3199999999999905;27.308000000000032;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.805600000000084;17.554399999999916;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;63.14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
