LABELS;S_4;S_5;C_4;S_6;C_5;S_2;S_9;S_0;S_1;C_2;C_6;S_7;S_3;C_7;C_3;C_0;C_9;C_1;S_8;C_8
JOB ID;4;5;4;6;5;2;9;0;1;2;6;7;3;7;3;0;9;1;8;8
EVENT TYPE;0;0;1;0;1;0;0;0;0;1;1;0;0;1;1;1;1;1;0;1
TIME;0.0;1.4099999999999964;1.74972067039106;3.0841953698475386;3.08419536984754;6.43;8.0466;8.046600000000002;8.046600000000002;8.046600000000002;8.046600000000002;8.046600000000002;8.046600000000005;9.350662909567498;10.601175523704523;11.360772882843353;12.955800300776371;14.017400000000002;14.017400000000002;16.682263144493955
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.1368683772161603e-13;0.0;-1.4210854715202004e-13;29.719593709043153;28.499182476182796;17.31122381477394;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.177785475263569;19.17222956355488;53.079984961181566;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;80.8300000000001;-1.1368683772161603e-13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;1.1368683772161603e-13;0.0;0.0;0.0;0.0;1.7053025658242404e-13;15.583551769331564;34.02644823066815;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;12.619499999999967;3.040499999999982;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;6.016453072625762;23.633546927374237;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;-2.8421709430404007e-13;0.0;61.26;0.0;0.0;2.8421709430404007e-13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.89999999999995;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;83.73;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.490858666903954;60.57914133309604;0.0;0.0;0.0;0.0
