LABELS;S_7;C_7;S_2;S_3;C_2;S_8;S_6;S_5;C_6;S_4;C_8;C_3;S_0;C_4;S_1;S_9;C_5;C_0;C_1;C_9
JOB ID;7;7;2;3;2;8;6;5;6;4;8;3;0;4;1;9;5;0;1;9
EVENT TYPE;0;1;0;0;1;0;0;0;1;0;1;1;0;1;0;0;1;1;1;1
TIME;0.0;1.7448;1.7448000000006867;3.664800000000686;3.6648000000006866;4.639999999999996;5.000000000000002;5.489999999999995;6.132107023411366;6.47;6.918543999476547;7.669999999999998;7.67;7.698492860921975;8.390000000000002;8.4;8.885251396648039;9.54551192145959;10.879302325581397;11.48611111111111
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6818341618629802;0.0;29.62416583810267;0.32089999999990937;13.824812290502628;23.538287709531808;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1074999999999875;5.216452513966416;7.097800641724177;14.338246844309424;0.0;0.0
RESOURCE JOB 2;0.0;0.0;96.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;48.75999999996546;7.002000000000123;4.17969999999994;5.477172909698993;4.152704682274361;3.826080315534952;17.98234209252621;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.981167030067027;14.210032969898492;0.5388000000345983;0.0;0.0;0.0;0.0;0.0;-1.1368683772161603e-13;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.597486287625394;2.4193137123746205;3.2115750362520785;5.38042496374792;0.20400888420136032;0.0;4.951191115798669;0.07159999999998945;3.474399999999953;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;5.860399999999913;7.679600000000086;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;87.24;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;10.998000000000161;14.459899999999834;14.35109197324406;10.322630434782724;10.40837759197322;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.7469050279329394;2.3769378893215887;4.8016454548385;2.1845116279069714;0.0
