LABELS;S_4;S_9;S_0;C_4;S_8;C_9;C_0;S_2;C_8;S_7;C_2;C_7;S_5;S_1;C_5;S_6;S_3;C_6;C_3;C_1
JOB ID;4;9;0;4;8;9;0;2;8;7;2;7;5;1;5;6;3;6;3;1
EVENT TYPE;0;0;0;1;0;1;1;0;1;0;1;1;0;0;1;0;0;1;1;1
TIME;0.0;0.0;0.74;2.0182280781478306;2.739363899215197;2.739363899215197;3.619242411568946;3.619242411568946;5.031766914998542;5.8100000000000005;6.009111257174303;7.919433086350787;8.07999999999999;9.11033733303146;9.11033733303146;9.41;9.75;10.703573264781491;12.290610336516929;13.273698440821256
RESOURCE JOB 0;0.0;0.0;4.8317021353988;18.598092825327385;41.97020503927382;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.1850374462306945;0.0;7.017599999999984;7.599978920308487;32.75644516061954;20.290938472841283;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;18.489945749893423;0.0;30.22657302145666;7.7334812286499215;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;21.531684318766093;39.6283156812339;0.0;0.0
RESOURCE JOB 4;16.74619999999997;0.0;28.13380000003377;0.0;0.0;0.0;0.0;-3.373656909388956e-11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;45.51;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.6129999999999995;18.547;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.2220816300652473;92.70791836993476;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;2.0237205784136223;0.0;52.13627942158637;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;17.915399999999966;0.0;30.94590177195895;17.458698228040944;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.3500311979441904e-13;0.0;0.0;0.0;0.0;0.0;0.0
