LABELS;S_6;S_1;C_1;S_7;C_6;S_8;C_8;S_5;S_2;C_7;S_9;S_4;C_5;C_9;C_2;S_3;C_4;S_0;C_3;C_0
JOB ID;6;1;1;7;6;8;8;5;2;7;9;4;5;9;2;3;4;0;3;0
EVENT TYPE;0;0;1;0;1;0;1;0;0;1;0;0;1;1;1;0;1;0;1;1
TIME;0.0;0.020000000000000004;1.4;1.4;2.1152009744214375;2.22;3.459999999999996;3.913246471226929;4.199999999999999;4.2;4.55;5.535192186515438;5.535192186515439;6.016529351184343;6.611244275131779;6.611244275131779;7.342625577739749;8.895979999999996;8.895979999999996;10.781179999999996
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;94.26;0.0;0.0
RESOURCE JOB 1;0.0;18.38;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.391000000000048;0.0;8.423393194707131;12.630287200912079;0.0;15.605319604380739;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.64227888698764;77.66772111301236;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.762787163598112;0.0;14.130426592991057;0.0;32.92678624341083;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.640999999999984;11.10899999999998;0.0;31.27000000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.8210000000000001;50.620000000000005;0.0;29.35900000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;6.401048721071874;5.239951278928132;49.59999999999979;22.662323561346653;11.696676438653547;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;12.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.566216131064913;4.673783868935068;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
