LABELS;S_8;C_8;S_6;S_4;S_1;C_6;C_4;S_7;S_9;C_1;S_5;S_3;C_9;S_0;S_2;C_7;C_5;C_0;C_3;C_2
JOB ID;8;8;6;4;1;6;4;7;9;1;5;3;9;0;2;7;5;0;3;2
EVENT TYPE;0;1;0;0;0;1;1;0;0;1;0;0;1;0;0;1;1;1;1;1
TIME;0.20000000000000026;1.296195262024408;1.88;3.0300000000000002;3.990000000000001;3.990000000000001;4.202746658179503;4.202746658179503;4.510000000000004;5.1171037633895695;5.370000000000001;6.10314456035768;6.10314456035768;7.560069341520412;7.560069341520414;7.560069341520414;7.879212730318255;10.428177449628521;10.476337777181092;10.510889999999995
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.9520763463800392;0.0;0.0;23.577923653619962;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;3.9528329089751537;0.0;0.0;6.252605506047203;12.354561584977642;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.691355670027974;0.0;0.0;76.64736910965966;1.8936640793672268;1.727611140945129;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.944253107143954;3.408451392360945;0.0;0.0;27.22294320223365;0.5143522982614535;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;24.825500000000034;6.684499999999957;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.3768730253353425;0.0;8.697840943541529;1.9052860311231186;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;42.745500000000014;23.174499999999988;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.110061584977842;5.779627827468829;7.5540105875535914;17.522154992548522;0.0;58.20414500745123;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;15.27;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.22099875703178;5.090801242967984;14.758200000000073;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.5631940186722204e-13
