LABELS;S_0;S_7;S_5;S_6;C_7;C_0;S_8;C_5;S_9;C_8;S_3;S_2;C_6;C_3;C_9;S_4;C_2;S_1;C_4;C_1
JOB ID;0;7;5;6;7;0;8;5;9;8;3;2;6;3;9;4;2;1;4;1
EVENT TYPE;0;0;0;0;1;1;0;1;0;1;0;0;1;1;1;0;1;0;1;1
TIME;0.0;0.0;1.2899999999999998;2.5085984522785862;2.5085984522785862;2.5659203470162173;2.7500000000000004;4.19769263697037;5.029999999999999;5.197773616312937;6.10563241549138;6.105632415491381;6.105632415491381;7.535760139007534;8.592851782363976;9.200000000000001;9.606596458119295;9.83;11.73582434514638;12.265884098279496
RESOURCE JOB 0;20.756099999999996;0.0;7.31159071367152;0.9223092863284821;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;45.816017257319004;22.023982742681;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.813805409466582;0.0;38.49927765104161;22.112338086304078;9.774578853187734;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;38.07000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.555244052776885;5.799555947223098;49.475200000000015;0.0;0.0
RESOURCE JOB 5;0.0;0.0;25.27373190025781;1.1917221915953462;0.0;3.827015985532853;30.097529922613987;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.7520632589577332;0.0;5.3769666636563045;7.499047859506515;21.615022217879357;3.462847440699033;40.55405255930108;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;30.005399999999998;0.0;28.344600000000003;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;34.788054066397976;20.000345933602127;4.031599999999898;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8942333749479623;4.838887399621105;0.0;7.622580766341102;0.0;5.634298459089834;0.0;0.0;0.0;0.0;0.0;0.0
