LABELS;S_6;C_6;S_5;S_0;S_4;S_3;C_5;C_4;C_0;C_3;S_8;S_7;C_8;S_9;C_7;S_1;S_2;C_9;C_2;C_1
JOB ID;6;6;5;0;4;3;5;4;0;3;8;7;8;9;7;1;2;9;2;1
EVENT TYPE;0;1;0;0;0;0;1;1;1;1;0;0;1;0;1;0;0;1;1;1
TIME;0.0;1.2076595744680851;2.03;3.0499999999999985;3.2499999999999996;3.5684891640866874;3.5684891640866874;6.147759103641457;6.879241847807337;7.152674209810194;8.32;9.26;10.58;10.58;12.471059947870067;12.471059947870078;13.131436235968026;13.131436235968026;15.4;16.856353677618873
RESOURCE JOB 0;0.0;0.0;0.0;3.2520000000000238;3.3632455727554174;0.0;62.598881432994276;22.97587299425028;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.689611798432168;14.46818820159865;0.0;18.612199999969185;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;98.96;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;47.94862817632317;13.59826421404371;5.083107609633117;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;2.2740126315789517;0.0;18.41598736842105;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;34.41479999999996;6.748000000000033;10.287200000000013;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;14.19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;23.607800000031034;43.53219999996897;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;45.93780000003098;42.392199999969016;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;51.02079739353438;0.0;4.547473508864641e-13;26.32920260646523;0.0;0.0;0.0;0.0
