LABELS;S_1;S_9;S_2;S_3;C_9;S_10;S_4;C_2;C_10;S_8;C_3;S_14;C_1;S_7;C_8;S_11;C_7;S_0;C_4;S_5;S_6;C_11;S_13;C_14;C_13;C_0;C_5;S_12;C_12;C_6
JOB ID;1;9;2;3;9;10;4;2;10;8;3;14;1;7;8;11;7;0;4;5;6;11;13;14;13;0;5;12;12;6
EVENT TYPE;0;0;0;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;0;1;0;1;1;1;1;0;1;1
TIME;0.2800000000000015;0.37;1.05;1.9300000000000002;1.9300000000000002;2.02;2.4659693999521863;2.4659693999521872;3.19;3.1900000000000133;3.712276995006288;3.712276995006288;4.039999999999999;4.04;4.927458910390374;4.927458910390374;5.514094040131773;6.294847999999999;6.294847999999999;6.294847999999999;6.294847999999999;6.294847999999999;6.294847999999999;6.294847999999999;7.656018051530766;8.357459806797852;8.585372963201257;8.585372963201257;9.636442008550569;10.286263498878352
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22.826821764170973;0.0;0.0;0.0;0.0;0.0;0.0;11.76317823582903;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;3.7907999999999333;28.6416;34.80240000000015;0.0;0.706499999999977;1.8596923978006163;0.0;9.564444226631775;2.1778950691762233;0.0;11.016668306391331;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;36.810399999999994;0.0;3.7646999999999906;18.654899999999984;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;4.52879999999999;10.627001816877737;0.0;36.4332197944066;26.28097838871642;-6.821210263296962e-13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.300741764284087;3.102325350337349;0.0;1.9466746496626506;0.0;0.0;2.097967043434579;0.0;3.484612670663907;4.637678521617264;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;23.48018338890563;0.0;0.0;0.0;0.0;0.0;0.0;35.64727000267328;11.582546608421069;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.71841873804661;5.757086330750013;0.0;26.550004085523597;16.414490845679808;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.632253017934687;0.0;19.587746982065312;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20.666500692398838;-1.3145040611561853e-13;19.396026557025;0.0;0.0;55.897472750576284;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;16.802800000000115;16.387199999999883;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 10;0.0;0.0;0.0;0.0;0.0;13.455345780540284;0.0;22.10465421946013;0.0;-4.121147867408581e-13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24.923343886337108;58.87665611366289;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;77.18;0.0;0.0
RESOURCE JOB 13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;89.81000000000002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4129309862920758;0.0;1.1368683772161603e-13;1.118198227091872;0.0;10.667809435073536;14.56106135154242;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
