LABELS;S_12;S_0;S_14;S_7;S_6;C_12;C_14;C_7;S_9;S_10;C_6;S_11;S_4;S_13;C_0;S_5;S_8;S_1;C_9;C_10;S_2;S_3;C_4;C_8;C_3;C_11;C_2;C_13;C_5;C_1
JOB ID;12;0;14;7;6;12;14;7;9;10;6;11;4;13;0;5;8;1;9;10;2;3;4;8;3;11;2;13;5;1
EVENT TYPE;0;0;0;0;0;1;1;1;0;0;1;0;0;0;1;0;0;0;1;1;0;0;1;1;1;1;1;1;1;1
TIME;0.9200000000000002;1.31;1.31;1.67;1.9399999999999993;2.1292117323556363;3.243817903596021;3.7574536597741055;3.7574536597741055;3.7881470869149947;3.791165656629678;3.7911656566296785;3.88;5.769999999999999;5.77;5.77;5.77;5.770000000000001;5.770000000000001;5.770000000000002;6.017281292059215;6.017281292059215;6.01728129205922;6.9186450149926575;7.742187645146313;7.742187645146313;7.770045561859106;8.259871086556167;8.259871086556169;9.410328899466062
RESOURCE JOB 0;0.0;10.879199999999981;0.0;0.9611999999999981;0.6735937671860679;0.0;1.8285432919939808;1.2796089775036705;0.0;0.09423974649243383;4.200976097982483;0.0;62.592638118841414;0.0;0.0;0.0;1.1368683772161603e-13;0.0;-1.1368683772161603e-13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.218433581864062;0.0;0.0;0.0;0.0;-1.1368683772161603e-13;0.0;0.0;19.244115484628878;17.582635153780558;0.5947665218181442;0.0;10.45777495228225;0.0;24.562274305626218;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.1368683772161603e-13;-1.1368683772161603e-13;0.0;0.0;0.0;0.0;0.0;5.615495993875399;12.056664105449514;0.40783990067531306;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.6139547965069685;10.146045203493031;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;56.17079999999981;3.410605131648481e-13;7.349199999999854;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.4577449707398138;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.328087067448848;6.69540158314922;0.22648486287501157;0.0;3.9822815157871077;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;2.2005324472960286;41.909192038638466;19.312704432295973;1.154072860497422;0.0;0.11349822127212406;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;7.198199999999968;2.8438523373052256;40.41561976917635;30.222327893518457;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.036047019401288;0.0;0.0;0.0;0.0;0.0;4.547473508864641e-13;0.0;31.033952980598258;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.635660876087826;0.0;0.06251457879109523;1.839759251199368;0.0;29.522065293921713;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03160442491274319;0.9300955750872717;0.0;19.788300000000014;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.9126034127630334;0.0;20.92619658723698;0.0;5.323966218034897;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.40636095475691;17.730872827208195;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 12;17.019599999999997;15.710399999999995;0.0;11.782799999999991;8.25720000000002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.342737415881576;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.894405015528562;4.47183648173435;0.15126848775047108;0.0;2.6597525991050404;0.0;0.0;0.0
RESOURCE JOB 14;0.0;9.410399999999996;0.0;7.057799999999986;4.9459946837763695;29.135805316223646;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
