LABELS;S_9;S_3;S_1;S_11;C_1;S_2;S_8;S_5;C_9;C_11;C_2;C_8;S_0;S_10;S_14;C_5;C_3;S_6;C_0;S_12;S_4;S_7;C_10;C_14;C_6;C_7;C_12;S_13;C_4;C_13
JOB ID;9;3;1;11;1;2;8;5;9;11;2;8;0;10;14;5;3;6;0;12;4;7;10;14;6;7;12;13;4;13
EVENT TYPE;0;0;0;0;1;0;0;0;1;1;1;1;0;0;0;1;1;0;1;0;0;0;1;1;1;1;1;0;1;1
TIME;0.36;0.8700000000000001;0.98;1.97;2.287179390748403;2.287179390748403;3.0188785046728968;3.018878504672897;3.018878504672897;3.137709147771692;3.703462455688041;4.1441632427138995;5.00916681344132;5.009166813441321;5.009166813441321;5.009166813441322;6.655795440508672;7.54;7.953079262141731;7.979614020991308;8.089328846233474;8.089328846233474;8.089328846233474;8.089328846233474;9.205673834353826;9.205673834353826;9.205673834353826;9.205673834353826;10.522692393282277;10.891271024049376
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;36.11056579158698;0.0;0.0;19.390605989644854;9.058828218768156;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;77.9724;16.86760000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;38.91175887850471;3.3355761517831155;0.0;0.0;30.352664969712166;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;2.703799999999994;10.434600000000001;3.343070778488169;0.0;7.712108660764169;1.2524749782613007;0.0;0.0;5.963039865438326;4.644986295252544;21.261787768480048;0.0;40.47413165331548;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24.62657043793496;0.0;0.0;70.22342956206504;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;1.1253261901455929;0.0;0.0;5.357683825967829;27.81703367707223;62.08995630681437;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.136965092958064;0.2966586039383401;3.6655723113407817;0.0;35.83080399176271;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;28.68;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;3.1299991392222637;0.0;0.0;14.901942130516645;11.608058730261092;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;5.457;1.1769999999999996;10.592999999999998;3.393819481007913;0.0;7.829180518992082;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;51.407745737042646;0.0;0.0;27.640234529698915;12.912857734550528;0.8294765616377787;3.429685437070134;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 11;0.0;0.0;0.0;8.11344881534422;0.0;18.716863334188574;3.039687850467189;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.432875617662539;0.0;22.49712438233746;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;44.98935397299584;0.0;0.0;0.0;12.590646027004155;0.0
RESOURCE JOB 14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;36.67041952478989;0.0;0.0;41.389615429789046;9.19927516789636;1.5273407193816553;2.4433491581430644;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
