LABELS;S_8;S_7;S_11;S_5;C_7;S_1;C_11;S_14;C_8;C_5;S_12;S_3;C_1;C_14;S_13;S_2;S_10;C_12;S_6;C_10;S_9;C_13;C_3;S_0;S_4;C_6;C_2;C_4;C_9;C_0
JOB ID;8;7;11;5;7;1;11;14;8;5;12;3;1;14;13;2;10;12;6;10;9;13;3;0;4;6;2;4;9;0
EVENT TYPE;0;0;0;0;1;0;1;0;1;1;0;0;1;1;0;0;0;1;0;1;0;1;1;0;0;1;1;1;1;1
TIME;0.56;0.7700000000000004;1.5399999999999994;1.9017375824056535;2.2085400043131354;2.5200000000000014;2.5778469301934392;2.8699999999999983;3.2;4.432434772832292;4.57;4.89;4.912794595946961;4.975643340857784;5.790000000000001;5.93;5.980000000000005;7.2274040219378435;7.37;7.543518898407026;7.817495060025447;7.817751196172246;8.208135764944275;8.840000000000003;8.840000000000003;8.840000000000005;9.262865168539326;11.074706616729092;11.098315167503603;11.420392156862748
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.156612359550543;0.0;0.0;9.2403913857678;0.12040360895001356;1.6425926457316393;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;2.3121417998317213;11.677358200168158;13.190100000000115;49.26041787010671;5.49848212989329;12.790399999999977;0.9111000000000331;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7120000000000744;17.76303327239482;2.0305667276051196;2.4709091133160186;3.9014205414463135;0.0036473787304203142;5.559076259313699;8.997746707193585;6.02159999999995;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.22498266199649314;0.6203171122698237;8.037700225733687;1.3817999999999842;0.49350000000005423;12.311877696526473;1.4074223034734956;1.7126315272773383;2.704144715173811;0.0025280637689064633;3.8530956937799345;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.548599999999908;0.0;0.0;58.051400000000115;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;2.948371274530974;2.9931305585507815;0.5559089991588682;2.8075910008410334;3.17130000000002;11.843698166918323;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.550727806583282;15.065949127396806;0.0074074573653888365;24.199939418178133;37.7159761904764;0.0;0.0;0.0;0.0;0.0;0.0;0.0
