LABELS;S_1;S_14;S_3;S_12;S_13;S_8;S_10;S_4;S_7;S_11;S_0;S_2;C_3;S_9;C_13;C_12;C_1;C_8;S_5;C_4;S_6;C_10;C_14;C_2;C_11;C_0;C_9;C_6;C_7;C_5
JOB ID;1;14;3;12;13;8;10;4;7;11;0;2;3;9;13;12;1;8;5;4;6;10;14;2;11;0;9;6;7;5
EVENT TYPE;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1
TIME;1.34;1.39;1.51;1.68;1.84;2.169999999999996;2.17;3.595233988319438;3.9642038216560493;3.9642038216560493;3.9642038216560502;3.9642038216560502;3.9642038216560502;3.9642038216560502;3.9642038216560502;4.16;4.357183811129844;4.357183811129844;4.655209717641381;4.655209717641382;4.655209717641382;4.655209717641382;4.655209717641382;5.882928435480781;5.882928435480781;6.8502171632830375;6.8502171632830375;6.885220051099355;6.885220051099355;7.349094778889588
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.027411464968152943;0.02760573355817819;0.0;0.04172362691161535;0.0;0.0;0.0;22.135807175953992;0.0;0.0;24.027451998608058;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.31799999999999917;0.7632000000000011;1.0812000000000008;1.0175999999999998;1.9008000000000074;2.1303950202769806;0.0;0.339452246669683;0.0;0.0;0.0;0.0;0.0;0.0;1.2452636942675213;1.254089038785807;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.39355031847133937;0.3963394603709869;0.0;5.141880600432206;0.0;0.0;0.0;26.408229620725468;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;1.6897999999999982;1.5904000000000025;3.280199999999997;3.735350031660143;0.0;0.7342499683398587;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.6834321961686864;0.0;0.0;0.0;0.0;0.0;0.0;2.2516560509554253;2.267613827993202;0.0;3.427297924882687;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.061385935891969945;0.0;0.0;35.992813561522034;0.0;1.3784137222066306;18.26738678037937;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.784282268409441;0.0;0.0;19.297410119655027;0.0;0.6983076119355189;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3818025477707021;1.7450767284991144;0.0;2.6375292726271127;0.0;0.0;0.0;10.865310652878676;0.0;0.0;8.560505241049974;0.0;0.30977555717441163;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;8.451637550734292;0.0;2.1879911116861095;0.0;0.0;0.0;0.0;0.0;0.0;1.1610713375796244;1.169299999999975;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
