LABELS;S_1;S_5;S_9;S_10;C_5;S_2;C_1;S_3;S_12;S_14;S_0;C_2;C_10;C_9;S_6;C_14;C_12;S_7;C_3;S_4;C_0;S_11;S_13;C_4;C_11;S_8;C_6;C_7;C_13;C_8
JOB ID;1;5;9;10;5;2;1;3;12;14;0;2;10;9;6;14;12;7;3;4;0;11;13;4;11;8;6;7;13;8
EVENT TYPE;0;0;0;0;1;0;1;0;0;0;0;1;1;1;0;1;1;0;1;0;1;0;0;1;1;0;1;1;1;1
TIME;0.0;0.0;0.0;0.5899999999999985;1.0445030782761655;1.1999999999999982;1.5077525157178655;1.8800000000000017;2.1100000000000008;2.35;2.902430555555554;2.9024305555555543;3.2160053619302915;3.4005847953216377;4.069999999999994;4.070000000000001;4.193602239824154;4.77992811887183;4.804355264301811;5.201543352313165;5.201543352313166;5.201543352313166;5.201543352313166;6.599079527518481;6.599079527518481;6.599079527518483;7.720226626334519;7.720226626334519;7.720226626334519;8.759008710168231
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0291326295799657;3.0307942962858903;17.859997660818593;0.0;6.15168347604812;39.16070546159426;0.9663378732101258;25.621348602463044;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;19.405099999999948;0.0;0.0;4.776827352682545;5.487486367634055;10.860586279683453;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;8.863272452674579;10.720727547325524;6.623999999999974;6.911999999999985;15.909999999999968;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.248599999999982;3.9551999999999623;7.750600694444415;0.0;4.39945453343757;4.212102669990514;15.2760549707601;1.7053025658242404e-13;2.8206031127871456;13.379956559867978;0.5574274587121657;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;57.56;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;33.541499999999914;0.0;0.0;25.838500000000188;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6587999382627316;6.091925883305294;0.42796358793326306;6.1139796296441915;0.0;0.0;24.48483378959712;0.0;1.1368683772161603e-13;19.642497171256977;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4909856231426204;7.983480569028231;0.0;0.0;28.090477121626833;0.0;0.0;22.535056686202353;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;37.99567517887553;0.0;0.0;0.0;35.20432482112449;0.0
RESOURCE JOB 9;6.053399999999988;0.0;0.0;4.663201583113469;1.595398416886523;3.157540811265319;3.819259188734712;2.359799999999993;2.4623999999999917;5.667937499999965;0.0;3.217277513404806;1.8937849865952074;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 10;0.0;0.0;0.0;10.171778891820585;3.4800211081793755;6.88750130176588;8.33089869823418;5.147399999999983;5.371200000000002;12.363395833333342;0.0;7.017804166666622;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.91;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.299199999999971;6.4917292113493374;0.0;6.923731724754191;4.075513889280927;14.7806877192981;1.7053025658242404e-13;2.7291374553172734;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.70830660930774;0.0;0.0;12.601693390692262;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.059392316428301;0.0;6.770080069630545;5.245747496982062;19.024780116958894;1.9895196601282805e-13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
