LABELS;S_0;S_5;S_8;S_11;S_1;C_8;S_3;S_6;S_12;C_11;C_0;S_13;S_14;C_3;S_10;C_13;C_14;C_5;C_1;S_2;C_6;S_7;S_9;C_10;C_12;S_4;C_9;C_7;C_4;C_2
JOB ID;0;5;8;11;1;8;3;6;12;11;0;13;14;3;10;13;14;5;1;2;6;7;9;10;12;4;9;7;4;2
EVENT TYPE;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;1;1;1;1;0;1;0;0;1;1;0;1;1;1;1
TIME;0.0;0.0;0.0;0.0;1.271046420141621;1.2710464201416212;1.2886855241264572;1.2886855241264572;1.2886855241264572;1.2886855241264574;1.7;1.7;1.7;2.417527904767399;3.2745318352059924;3.2745318352059924;3.2745318352059924;4.26662020863137;5.420000000000001;5.420000000000001;5.420000000000001;5.420000000000001;5.420000000000001;5.420000000000001;5.420000000000001;6.16;7.31478061967145;7.668048468198896;8.684609843937572;9.196068376068377
RESOURCE JOB 0;0.0;0.0;23.378764901403535;0.0;0.0;0.5812084763003504;0.0;0.0;0.0;15.560026622296114;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.091567387687164;0.0;18.741828872524465;0.0;14.888466797092846;0.0;0.0;20.01061877490089;37.13751816779464;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.328999999999997;0.0;0.0;0.0;0.0;0.0;6.755466625077979;2.066616913885561;5.946884048071212;2.9920324129652087;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.2889983361064665;0.0;10.971001663893535;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.238645123726357;5.885442356467252;16.93591251980635;0.0;0.0
RESOURCE JOB 5;0.0;0.0;10.303965232349476;0.0;0.0;0.3346138025923402;0.0;0.0;0.0;7.8026356073211005;0.0;13.61150435343756;0.0;16.257364560420115;0.0;0.0;18.8199164438794;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.201038269550744;0.0;2.0951814819208057;0.0;23.516187851235003;0.0;0.0;27.222904966792342;25.894687430501108;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;34.08439999999992;0.0;0.0;0.0;0.0;0.0;33.95055021834062;16.27504978165947;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;32.31;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;35.586599999999976;0.0;0.0;0.0;0.0;0.0;55.53340000000003;0.0;0.0;0.0;0.0
RESOURCE JOB 10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.071473853540475;37.888526146459526;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 11;0.0;0.0;61.11191188040909;0.0;0.0;0.848088119590912;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.187181364392657;0.0;8.969098809592488;0.0;10.712549130482415;0.0;0.0;6.773923303424546;14.417247392107896;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.578997528644777;0.0;11.441002471355219;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.785177766726278;0.0;8.884822233273724;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
