LABELS;S_2;S_14;S_4;S_9;S_10;S_8;C_9;C_8;S_13;S_11;C_14;S_1;C_2;S_3;C_10;C_13;C_4;S_5;S_12;S_6;C_11;C_12;S_7;C_1;C_6;C_3;S_0;C_5;C_7;C_0
JOB ID;2;14;4;9;10;8;9;8;13;11;14;1;2;3;10;13;4;5;12;6;11;12;7;1;6;3;0;5;7;0
EVENT TYPE;0;0;0;0;0;0;1;1;0;0;1;0;1;0;1;1;1;0;0;0;1;1;0;1;1;1;0;1;1;1
TIME;0.0;0.0;0.07000000000000003;0.07000000000000003;0.28000000000000047;0.6100000000000001;1.5996367112810694;2.307572825587653;2.307572825587653;4.1884089999999965;4.188408999999998;4.188408999999999;4.188408999999999;4.188408999999999;4.188408999999999;4.188408999999999;4.188409;4.188409;4.220000000000001;5.362519655843319;5.36251965584332;5.4907993474714525;6.75;6.874816794552415;6.982631387686895;8.0315895768841;8.062275865835629;8.062275865835629;8.062275865835629;9.839855937010006
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.97;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3076963400000068;0.0;11.573724113692919;3.42763336030373;0.0;33.64584143556277;3.335104750440536;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.27650000000000013;0.0;0.8295000000000017;0.0;1.3034999999999985;1.3748494595602958;2.796347651511005;0.0;7.42930288892871;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1955482900000014;0.0;0.0;0.7940512911781425;0.0;20.915322838499236;0.0;0.6673723315024276;22.447705248820185;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;5.911500000000013;0.0;9.28949999999999;0.0;0.0;0.0;34.549000000000134;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.7053025658242404e-13;0.0;0.0;0.0;0.0;0.0;0.45680586000001;0.0;0.0;4.048507067783923;0.0;42.05730179445348;2.395237917567501;2.7320217900276944;35.03520351918664;1.0249220509810604;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.9850684241866645;0.0;29.301599184339295;2.9044868092346974;2.50884558223936;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.846849977998751;4.873219609678472;47.41291015171366;1.3870202606091198;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;51.669863844517664;40.60013615548256;0.0;0.0;0.0;0.0;0.0;0.0;-1.1368683772161603e-13;0.0;0.0;0.0;-1.1368683772161603e-13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;5.491500000000011;0.0;8.62949999999999;25.878999999999877;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 10;0.0;0.0;0.0;0.0;5.088599999999994;2.4293878131305053;9.769518377430835;0.0;29.002493809438377;2.8421709430404007e-13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.1990495100000658;0.0;88.67095048999994;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.007290980639072;1.5727090193609286;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;70.27;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 14;1.7430000000000008;0.0;5.229000000000029;0.0;8.216999999999992;17.610570010898627;17.627609246233924;0.0;46.83282074286742;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
