LABELS;S_0;S_1;S_14;S_6;S_7;S_13;S_5;S_10;C_0;C_7;C_13;C_10;C_5;S_8;S_9;S_11;S_4;C_6;S_12;C_1;S_2;C_8;C_11;S_3;C_14;C_4;C_9;C_2;C_12;C_3
JOB ID;0;1;14;6;7;13;5;10;0;7;13;10;5;8;9;11;4;6;12;1;2;8;11;3;14;4;9;2;12;3
EVENT TYPE;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;1;0;1;0;1;1;0;1;1;1;1;1;1
TIME;0.06;0.07;0.22;0.22000000000000042;0.22000000000000042;0.85;1.15;1.15;1.573266888150609;1.5732668881506096;2.258941394813821;2.4344099209593892;2.4344099209593897;2.4344099209593897;2.4344099209593897;2.4344099209593897;2.43440992095939;2.43440992095939;2.43440992095939;2.4344099209593906;3.100000000000001;3.5764879243306593;3.8448294679399724;3.844829467939973;3.844829467939973;4.11787874156432;4.11787874156432;4.136628667538776;5.188612819510114;5.4831865859350994
RESOURCE JOB 0;0.17270000000000008;2.5904999999999996;0.0;0.0;10.880099999999992;5.180999999999999;0.0;3.64570000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;6.7604999999999995;0.0;0.0;28.39409999999998;13.520999999999994;0.0;17.84052728033646;23.285506246282743;0.0;7.908366473380809;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.49686883093358;14.358955998534356;0.0;14.610866631638828;0.0;0.0;1.003308538893151;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.844705631227498;0.0;0.0;0.5386853732461248;30.223504686136536;8.46310430938982;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;34.810361133823974;0.0;0.0;0.0;0.0;0.0;0.0;16.444899124855525;14.034262730767097;0.0;14.280477010553398;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;31.059324252491734;50.314795298946365;0.0;12.875880448561901;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;6.3818999999999955;3.0389999999999997;0.0;3.26160383014539;0.0;0.0;1.777496169854615;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;11.377799999999992;5.417999999999999;0.0;7.64420000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;52.0291764786046;0.0;0.0;0.0;0.0;0.0;0.0;30.970823521395317;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18.643178113927704;0.0;0.0;0.0;0.0;0.0;0.0;3.6737218965893774;11.981449922155832;0.0;12.191650067327089;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.121386630193335;29.881695000382763;0.0;7.646918369423901;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.275095938947956;0.0;0.0;0.0;0.0;0.0;0.0;6.99919831231027;4.545705748741774;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.3447910280083306e-13;0.0;11.481428863450546;0.0;0.0;0.0;0.0;0.0;0.0;8.21941669470364;4.628891627260643;0.0;4.710099970020011;0.0;0.0;0.3234362230593604;18.146726621505564;0.0;0.0
RESOURCE JOB 13;0.0;0.0;0.0;0.0;0.0;12.524999999999999;0.0;11.978089346810918;28.626910653189086;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 14;0.0;0.0;0.0;0.0;4.617899999999997;2.198999999999999;0.0;3.1025462901439695;5.025994133841336;0.0;1.2861842966470256;0.0;0.0;4.87877527936768;0.0;0.0;0.0;0.0;0.0;0.0;3.4926564853437263;1.9669435146562684;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
