LABELS;S_12;S_1;S_11;S_14;S_13;S_3;C_12;S_2;S_4;S_5;C_1;S_6;C_13;S_7;C_14;C_3;S_8;S_9;C_11;S_10;C_5;C_7;C_8;C_10;S_0;C_6;C_9;C_2;C_4;C_0
JOB ID;12;1;11;14;13;3;12;2;4;5;1;6;13;7;14;3;8;9;11;10;5;7;8;10;0;6;9;2;4;0
EVENT TYPE;0;0;0;0;0;0;1;0;0;0;1;0;1;0;1;1;0;0;1;0;1;1;1;1;0;1;1;1;1;1
TIME;0.33999999999597375;0.3400000000000012;0.6200000000014396;0.6200000000070414;1.1000000000000005;1.3800000000000003;1.4672493573194358;1.55;1.8484332130150225;1.8700000000000006;2.127056110684088;2.127056110684088;2.127056110684088;2.29;2.29;2.558514902254832;2.558514902254832;3.0000000000000098;3.039999999998495;3.040000000000001;3.6060398394529476;3.6060398394529476;4.1995032743478555;4.589999999999999;4.59;4.59;4.59;4.590000000000002;5.707805867266323;6.070416272469252
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;59.076040085025156;19.16395991497484;0.0
RESOURCE JOB 1;0.0;3.5028000000880724;6.004799999981997;-7.007816549275958e-11;3.502799999999997;1.0914894600661391;1.035210539933857;3.733399494817931;0.26980050518207577;1.5297000000000107;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.66028310529628;0.6981168947037375;8.320906302843916;0.0;5.2744936971560605;0.0;0.0;5.927027385988822;14.290872614011406;0.0;1.2947999999997108;18.322709603140638;-4.874323167314287e-11;19.210411387548163;0.0;12.640379009359947;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;6.333430847817823;6.006869152182162;21.663266932760465;1.5655330672395564;13.919372252113606;0.0;11.828096925442026;0.0;0.0;19.04343082244438;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.23378397091716252;2.7864882398155117;0.0;1.766311760184486;0.0;0.0;2.9107015404423784;4.785698459557725;0.0;0.43359999999990606;6.135871859686262;3.4726888031855196e-11;6.4331436342608015;0.0;6.556440023699494;0.0;0.0;0.0;0.0;18.767960511401544;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.914809377401959;0.0;4.383190622598022;0.0;0.0;5.253579189370697;11.875949129345287;0.0;1.075999999999766;15.226471681324782;-4.051514679304091e-11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.5358823981553122;0.0;0.0;2.2850618181886198;12.332131171222425;0.0;0.5955999999999388;6.4823538974045825;0.0;18.907745035751788;0.0;12.441225679277323;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18.06299747468256;29.69870252531811;1.9895196601282805e-13;2.690799999999399;38.077500000101026;-1.0129497240995988e-10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.074834944973652;0.0;0.5503999999998754;7.788708190893274;-2.071942617476452e-11;8.16605686415393;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.09159999999998014;11.021127297778744;-3.4487968036955863e-12;36.99651053134849;0.0;27.17076217087623;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.153225360560981;-7.356959486060077e-11;28.978819525918368;0.0;19.067955113594223;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 11;0.0;0.0;15.20640000017749;0.0;8.870399999999997;2.6497629817443364;2.621540360120271;1.0751505439332707;0.01768476532768193;0.21078601076095183;0.0;5.162062413528091;0.0;0.0;0.22018221984896225;9.238830704606967;0.0;1.2671999999997183;0.0;-4.7705839278933126e-11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
