LABELS;S_1;S_9;S_5;S_3;S_4;C_1;S_2;S_13;S_6;S_8;S_10;S_0;S_11;C_3;C_5;S_7;C_9;C_2;C_8;C_6;S_12;C_4;C_13;C_10;C_11;S_14;C_0;C_7;C_14;C_12
JOB ID;1;9;5;3;4;1;2;13;6;8;10;0;11;3;5;7;9;2;8;6;12;4;13;10;11;14;0;7;14;12
EVENT TYPE;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;1;1;1;1;0;1;1;1;1;0;1;1;1;1
TIME;0.0;0.0;0.93;1.05;1.51;1.5381609794217237;1.6900000000000002;1.7500000000000004;2.0700000000000003;2.36;2.56;2.7765941614195753;2.7765941614195753;2.7765941614195757;2.7765941614195757;2.7765941614195757;2.7765941614195757;2.8318675533388724;3.4095835754406356;3.7899922051074166;3.7899922051074166;3.789992205107417;3.789992205107417;3.983562855337966;4.177260543310267;4.177260543310267;4.5881883643181265;5.37100919096749;5.6481564434283715;6.895835116984811
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3432477638188338;0.0;0.0;3.5876164972519504;2.3623375902307124;1.202073737931709;0.0;0.0;0.0;1.2028626423079913;0.0;2.551861768458801;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;35.7027;4.606800000000021;17.659399999999998;1.081099999999978;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;2.1654000000000053;11.548799999999993;10.466099999999997;7.2180000000000035;7.816883285632471;0.0;0.0;0.0;1.9948167143675306;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;9.195399999999996;0.5629379786402602;3.035262021359742;1.1994000000000113;6.396799999999992;5.797099999999993;3.8512904407555553;1.7918095592444487;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.19233948945037227;1.0370605105496296;0.4098000000000006;2.185599999999999;1.9806999999999988;1.3659999999999997;1.479338122495701;0.0;0.0;0.0;0.1658201757578901;0.0;0.0;2.245150761122302;2.598190940624116;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;2.096399999999999;8.036200000000001;0.49197231049751267;2.652627689502488;1.048200000000005;5.5904000000000025;5.066299999999984;3.494000000000007;3.7838999999999885;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.171699999999994;3.6554141332858165;5.356373611906093;0.0;0.0;0.0;0.13984168155582033;0.0;0.0;13.509165161592778;9.4075054116595;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.12381239789922471;0.0;0.0;1.2940838895079496;0.8521153304535911;10.237951690693734;0.0;0.0;0.0;10.24467071685504;0.0;21.73397245310565;41.4033935214848;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.325999999999993;11.182756554092691;0.0;0.0;0.0;2.8537652247932783;0.0;0.0;29.827478221114035;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
