LABELS;S_9;S_12;S_2;S_6;S_13;C_9;S_7;C_2;S_5;C_6;S_8;S_14;S_3;C_12;C_13;S_1;S_11;C_14;C_3;S_10;S_4;C_8;S_0;C_1;C_7;C_5;C_10;C_11;C_0;C_4
JOB ID;9;12;2;6;13;9;7;2;5;6;8;14;3;12;13;1;11;14;3;10;4;8;0;1;7;5;10;11;0;4
EVENT TYPE;0;0;0;0;0;1;0;1;0;1;0;0;0;1;1;0;0;1;1;0;0;1;0;1;1;1;1;1;1;1
TIME;0.0;0.0;0.3100000000000003;0.6000000000000001;1.19;1.32077922077922;1.4200000000000002;1.4287008501594092;1.43;1.8114492006188758;1.839999999999999;1.8999999999999984;1.9;2.062795834648154;2.234068394147715;2.24;3.14;3.167940920938313;3.2;3.2;3.591501154734409;3.5915011547344102;3.7810734416169502;3.7810734416169502;3.9431452124286626;3.9870419882064945;4.31568024596464;4.959636363636363;5.025392716639642;5.399294535570158
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0469492912601908;1.2778351428925987;21.262895276952065;48.55429127244793;4.958029016447213;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-3.876094762798136e-10;0.0;0.0;0.0;29.681999999648156;0.5373039096436614;1.6327688966117364;0.0;13.773010623556303;0.0;9.654916570927753;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;17.84659999999999;36.308600000000006;5.977918181817935;5.299381818181921;0.32750000000015245;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.3775361312267904;0.0;6.244597519353988;0.21626634937432243;32.814000000044885;1.018725977410881;1.1688740225891365;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.1184764926071225;0.0;6.163589443969229;1.9090707785778989;14.29247782990177;28.005651557543246;2.8597437921125675;16.260990105288165;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.575777050025806;1.0161229499741609;2.135400000000047;1.326502682910366;0.0;2.027867104493847;0.2111058522828273;32.03100000004383;0.994417376194562;1.1409826238054563;0.0;13.93352609699761;0.0;6.746877690149603;0.0;5.768134323188832;1.5622862499330488;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;34.3203;7.607427272727222;5.771672727272787;0.506128453772817;0.07557154622716666;22.188900000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.13721240701388027;0.020487592986114578;6.015453893759673;0.4502461062403107;0.9461999999999904;2.5672903124014184;-3.410605131648481e-13;2.700968263289017;0.09354142429053525;14.193000000019417;0.44062832319719547;0.505571676802802;0.0;6.173973210161627;0.0;2.9895549641376604;0.0;2.5558718257006987;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.2990000000000208;3.5245298201059114;0.0;3.7080509131654935;0.12841926670197523;19.485000000026652;0.6049209383144785;0.6940790616855281;0.0;8.475999999999942;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;2.387000000000002;2.2329999999999983;4.542999999999999;1.0070000000000006;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;30.5605801385679;3.694822225952521e-13;14.798012714051026;0.0;12.651322429562299;3.4265823172175374;25.65350240060087;0.0;0.0;0.0;0.0
