LABELS;S_4;S_12;S_1;S_14;S_10;S_11;S_9;S_2;C_4;C_14;C_1;S_13;S_0;C_11;S_3;C_9;S_5;S_7;S_8;S_6;C_10;C_2;C_7;C_12;C_8;C_3;C_0;C_6;C_5;C_13
JOB ID;4;12;1;14;10;11;9;2;4;14;1;13;0;11;3;9;5;7;8;6;10;2;7;12;8;3;0;6;5;13
EVENT TYPE;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;1;0;0;0;0;1;1;1;1;1;1;1;1;1;1
TIME;0.0;0.0;0.23999999999999969;0.30000000000000004;0.47;0.87;1.04;1.2;1.2693367346938824;1.4065353625783348;1.6984357100533316;1.96;2.060769885155252;2.060769885155252;2.3;2.3277959927140244;2.35;2.77;2.77;3.0744160681032175;3.0744160681032175;3.3427100111085633;3.821090528831787;3.884400515685431;3.9247687158734963;4.376460887229524;4.664323362436504;4.664323362436505;5.0616538131962265;5.226013071895425
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.956829859634219;0.0;0.011396357012750102;0.5528797814207991;10.457999999999998;0.0;0.12481058792231914;0.11000051663219193;0.0;0.19613601226652166;0.02595709460999407;0.46746375817781427;11.247135066765097;5.859390965558298;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;3.103200000000029;8.792399999999995;20.688000000000002;3.7807999999999975;0.04480000000001105;0.018027551020409427;5.413857856320467;14.778914592659087;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.3541464285715428;2.6794892025833548;5.700813786186686;5.1083505826584386;1.9680358570820644;4.6721641429179215;0.0;0.5428557377048833;0.4336442622951122;8.202599999999997;0.0;2.684949720670378;4.9929502793296265;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.21764262295081593;0.17385737704918824;3.288599999999999;0.0;0.474889066241019;2.100741573731856;0.0;3.7457194537728427;0.4957171970640317;0.3160830074725496;3.5367497017176976;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;14.090399999999981;3.522600000000022;9.980699999999995;23.484;9.980700000000006;9.393599999999992;2.7180000000000035;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.80279999999999;0.0;7.105071029529157;6.2619806297447695;0.0;11.165401283660046;1.4776550931640458;0.9421937923894461;10.542495279449696;6.71871017133094;9.273692720731916;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.191487797153435;0.0;18.159324452773603;4.522232360955718;3.3719557617091027;37.729847073369;24.045152554039134;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.188805799414787;8.97979827238892;0.0;16.011395928196293;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.462793828145578;11.5688348223905;0.0;20.627767924225424;2.729926633129139;1.7406767921093547;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;3.5136000000000003;1.5226346938776487;3.012881868342575;6.410131630550932;5.743951807228868;2.2129066780093334;5.2534933219906605;0.0;0.6103999999999843;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 10;0.0;0.0;0.0;0.0;15.036000000000005;6.390299999999996;6.014400000000002;2.606367857143077;5.1572964221765645;10.972534061585137;9.832201659095261;3.787939982985918;8.992660017014089;0.0;1.0448513661201702;0.8346486338798187;15.78779999999999;0.0;11.442999999999984;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 11;0.0;0.0;0.0;0.0;0.0;7.993400000000001;7.523199999999996;3.2602132653064118;6.4510794831269465;13.72515433827435;12.298752913292347;4.738199999999949;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 12;0.0;5.58479999999999;1.3962000000000074;3.955899999999999;9.308000000000002;3.9558999999999997;3.7231999999999985;1.61346581632667;3.1926120708712062;6.792521085743161;6.086601027059025;2.3449152275627085;5.566884772437277;0.0;0.6468127504553521;0.5166872495446526;9.773399999999995;0.0;7.083761904761836;6.243200053734398;0.0;11.131914647419421;1.4732233940843003;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0835584857507;7.320441514249289;0.0;0.8505573770491756;0.6794426229508588;12.85199999999999;0.0;9.315131683958427;8.209794655963591;0.0;14.638443842330645;1.9372855977214982;1.2352669257548001;13.821780443494447;8.808591741333629;12.158311793247492;0.0;5.029393316195467;0.0
RESOURCE JOB 14;0.0;0.0;0.0;1.898899999999999;4.468;1.8988999999999994;1.7872000000000003;0.774491326530669;1.5325086734693318;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
