LABELS;S_6;S_11;S_5;S_0;S_4;S_12;S_2;C_11;C_0;C_12;S_13;S_9;S_7;C_5;S_3;C_2;S_10;S_1;C_13;C_6;C_7;S_8;C_9;S_14;C_4;C_14;C_3;C_8;C_1;C_10
JOB ID;6;11;5;0;4;12;2;11;0;12;13;9;7;5;3;2;10;1;13;6;7;8;9;14;4;14;3;8;1;10
EVENT TYPE;0;0;0;0;0;0;0;1;1;1;0;0;0;1;0;1;0;0;1;1;1;0;1;0;1;1;1;1;1;1
TIME;0.0;0.0;0.04000000000000009;0.33999999999999997;0.69;0.77;1.2343558282208593;1.250918521720336;1.86;2.0408510638297894;2.1999999999999997;2.2600000000000007;2.54;2.6819865935405223;2.7200000000000006;2.8000000000000003;2.8000000000000003;2.88;3.2863578953579258;3.4895672333848533;3.631773189118322;3.7;3.7073963868225297;3.719999999999997;4.08917695473251;4.7651644575355885;5.07;5.214088077316906;5.4213265306122445;5.969366034243405
RESOURCE JOB 0;0.0;0.0;0.0;27.4575;6.276000000000003;28.691558155849677;0.20355550310856962;33.76138634104177;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.964614749015368;3.9829030253277864;2.7872367323759732;1.3372454932809035;0.1449691817215779;0.24703081827836115;7.235868312757248;13.249355054940338;5.974776632302479;2.8241263154113483;4.061873684588633;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.5399438080829313;19.856056191917048;5.895744680851131;5.188255319148865;1.9560000000000315;9.127999999999972;4.628762949421031;1.2392370505789927;2.60799999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.021600000000012;0.0;2.9008000000000482;6.769922536662932;10.969240066693544;7.676277490492623;3.682883251393008;0.39925696068013394;0.6803430393196948;19.928172016461048;20.636482056067933;16.45502258222899;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.38880000000000026;2.2567693251533765;0.08049469040745993;2.9601359844391686;0.8789361702127749;0.7734638297872234;0.2916000000000043;1.3607999999999958;0.690054844606939;0.18474515539306502;0.38879999999999804;0.0;0.38879999999999804;1.9748993714395198;0.9875973828108684;0.6911209448646574;0.331582300884957;0.035946439957491805;0.06125356004249127;1.7942000000000142;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;9.845999999999995;11.486999999999991;2.625600000000002;15.240158282208604;0.5435876006528417;19.990054117138605;5.935531914893694;5.223268085106298;1.9692000000000291;9.189599999999984;4.65999999999994;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;1.0352000000000023;7.763999999999997;9.057999999999996;2.0703999999999994;12.01752883435584;0.4286425077664582;15.763028657877687;4.680425531914949;4.118774468085043;1.5528000000000262;7.246399999999973;3.674613040828717;0.9837869591713115;2.070399999999978;0.0;2.0703999999999922;10.516542331863121;5.25905766813689;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
