LABELS;S_3;C_3;S_9;S_12;C_9;C_12;S_6;S_11;C_6;S_8;S_5;C_11;C_8;S_10;C_5;C_10;S_14;C_14;S_13;C_13;S_1;C_1;S_7;S_0;S_2;S_4;C_0;C_7;C_2;C_4
JOB ID;3;3;9;12;9;12;6;11;6;8;5;11;8;10;5;10;14;14;13;13;1;1;7;0;2;4;0;7;2;4
EVENT TYPE;0;1;0;0;1;1;0;0;1;0;0;1;1;0;1;1;0;1;0;1;0;1;0;0;0;0;1;1;1;1
TIME;1.5199999999982967;3.3691999999982967;3.3691999999982967;3.3691999999982967;4.543267495557956;7.136714058675579;7.169999999999993;8.360000000000001;8.906732570239322;11.754534161490687;12.851778017241182;12.851778017241182;14.180000000000003;14.180000000000003;14.993548123980275;17.085128000001557;17.085128000001557;19.538728000001562;19.542;22.799999999999997;22.8;24.643600000000003;24.643600000000003;25.069999999999986;25.069999999999986;25.069999999999986;26.585962036238122;29.851149425287367;31.122307406167476;33.7532
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.57;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;46.09;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.22792924935289;0.0;0.0;2.6448017851298906;23.567268965517222;0.0;0.0
RESOURCE JOB 3;46.23;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.6989473684210523;0.0;0.0;7.967057229280158;8.211680556485476;65.77231484581333;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24.651800000003718;0.0;19.948199999996326;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;22.87180000000015;10.508199999999874;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.1368683772161603e-13;0.0;0.0;0.0;0.0;-1.4210854715202004e-13;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.659999999999627;0.0;15.40217428817924;0.0;0.0;71.01782571182113;0.0;0.0;0.0
RESOURCE JOB 8;0.0;3.523830116597368e-12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.066250431029666;8.553749568966808;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;26.44;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 10;0.0;0.0;0.0;0.0;0.0;-4.2589931581460405e-11;0.0;0.0;0.0;0.0;0.0;0.0;0.3905030995105312;0.0;52.28949690053206;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.16011425598316;71.19503978128412;20.364845962732716;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 12;0.0;2.9116873889879553;0.0;0.0;33.118312611012044;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;81.45;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;61.34;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
