LABELS;S_7;S_8;S_2;S_13;C_7;S_12;C_2;C_13;S_5;C_8;C_5;S_11;C_12;S_9;S_0;C_9;S_3;C_0;C_3;S_4;C_11;S_1;C_1;S_10;S_6;C_10;S_14;C_14;C_4;C_6
JOB ID;7;8;2;13;7;12;2;13;5;8;5;11;12;9;0;9;3;0;3;4;11;1;1;10;6;10;14;14;4;6
EVENT TYPE;0;0;0;0;1;0;1;1;0;1;1;0;1;0;0;1;0;1;1;0;1;0;1;0;0;1;0;1;1;1
TIME;0.0;0.0;0.2799999999999997;0.98;1.0201517450682827;1.43;2.1652370689655194;2.2921980676328473;3.38;3.888111888111888;5.211626000000001;5.211626000000001;5.211626000000001;5.85;6.700000000000001;7.098655357881666;7.39;7.901084500677814;8.8594044128;8.8594044128;8.8594044128;8.86;10.480289168049293;10.98;12.638516872095375;12.638516872095375;12.638516872095375;14.307562549093744;16.161286221694656;16.629930657490092
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.822243069921253;6.447456930078733;11.310300000000012;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;68.36;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;11.179000000000006;0.6412233687404725;6.545276631259526;10.234499999999997;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.449844107465925;18.620155892534076;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.017510263679980653;0.0;0.0;12.65445840246457;14.69149845935084;0.8458436047686406;0.0;0.8512132952691681;0.0;54.499475974466804;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18.521414329650355;46.01858567034965;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7510705546492664;0.0;38.18670765557886;23.432221789771873;0.0
RESOURCE JOB 7;7.128799999999992;0.0;17.82200000000001;0.5291999999999986;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;1.2011999999999987;0.0;3.0030000000000014;0.17225098634292735;1.7582490136570668;3.154167025862079;0.5446626842828373;4.666670289855084;2.179800000000011;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20.544500000000056;9.635499999999944;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;82.08;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.559779359999997;0.0;21.9555;1.4750248241620056;8.119775175837997;4.794080926424773;29.29583971357523;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 12;0.0;0.0;0.0;0.0;0.0;11.19766056034486;1.9336160097034085;16.56722342995174;4.704380075944034;20.157119924055962;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 13;0.0;0.0;0.0;0.6649128983307406;6.78708710166924;12.175525862069069;2.102474137930951;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;81.85;0.0;0.0;0.0;0.0
