LABELS;S_3;S_8;S_7;S_9;S_1;C_7;C_3;C_9;S_2;S_4;C_8;C_1;S_12;C_2;C_4;S_6;C_12;C_6;S_0;S_13;C_0;S_10;C_13;S_11;S_5;C_10;C_5;C_11;S_14;C_14
JOB ID;3;8;7;9;1;7;3;9;2;4;8;1;12;2;4;6;12;6;0;13;0;10;13;11;5;10;5;11;14;14
EVENT TYPE;0;0;0;0;0;1;1;1;0;0;1;1;0;1;1;0;1;1;0;0;1;0;1;0;0;1;1;1;0;1
TIME;0.0;0.0;0.06999999999999999;0.5400000000005906;1.6782427536231879;1.6782427536231879;2.0484668644906034;2.787956155349481;2.8779174697370946;2.8779174697370946;2.8779174697370946;4.322378146567236;5.357771901835505;5.518647967864836;6.540000000000002;6.540000000000002;6.698164653933533;7.699999999999998;7.7;8.068929695697795;9.108151260504197;9.73;9.73;9.88;11.391510636704119;11.391510636704119;13.13402;13.13402;13.13402;14.50742
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18.44648478488989;0.0;32.15351521511011;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;1.636390570033977;6.0490223992256205;2.417260517595132;58.71732651314526;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.949011930372473;0.0;0.0;42.47185184110436;6.599136228523172;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.7077000000000001;4.75170000000597;11.507634239124457;0.0;3.7429657608695734;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.556695397989351;0.0;0.0;9.297835922309048;0.950777550233397;23.184691129468277;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;55.83;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.842823697905061;42.12717630209494;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;10.377600000013038;25.13239999998696;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;1.6191000000000004;8.370700000010519;13.442646920282876;0.0;6.212360580355231;17.104387297565843;2.0808052017854948;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;6.829456521735576;0.0;6.919488632111996;13.821054846152428;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.038999999999987;0.0;57.58100000000001;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.994531835205976;0.0;31.29546816479401;0.0;0.0;0.0;0.0
RESOURCE JOB 12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.49388952271004527;25.12525999052508;0.0;3.890850486764876;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.807563025209987;11.852436974790013;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;68.67;0.0;0.0;0.0
