LABELS;S_12;S_14;S_4;S_7;S_11;C_7;S_0;C_4;C_12;C_14;C_11;S_13;C_0;S_1;C_13;S_5;C_1;S_8;C_5;S_6;C_8;S_9;S_2;S_3;S_10;C_6;C_9;C_3;C_10;C_2
JOB ID;12;14;4;7;11;7;0;4;12;14;11;13;0;1;13;5;1;8;5;6;8;9;2;3;10;6;9;3;10;2
EVENT TYPE;0;0;0;0;0;1;0;1;1;1;1;0;1;0;1;0;1;0;1;0;1;0;0;0;0;1;1;1;1;1
TIME;0.0;0.0;0.22000000000000236;0.68;1.61;2.1524080267558525;2.3973235195717626;2.3973235195717626;3.341880341880338;3.495951417004045;4.048395415472779;4.95;5.17848695447481;6.83;8.447088186356071;8.58;8.720360311532897;8.720360311532897;10.378923369221026;11.74130873876872;11.74130873876872;11.74130873876872;13.19708542713568;13.19708542713568;13.19708542713568;13.197085427135681;13.345994065031253;14.58;15.528429289678767;16.980651172136852
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;6.819700257067915;0.0;1.1123931623931647;3.9886456689442618;6.509585100286532;1.6496758113081142;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;41.979609317803565;5.3749537437605;2.585436938435933;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.32015357147547974;0.0;0.0;7.0955341260703335;14.890339847956625;70.24397245449757;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.4816409470609617;0.0;0.0;12.278359052939038;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;16.06779999999999;23.1663;9.725375919732437;7.320524080267573;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.432578638208895;0.0;52.37742136179111;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;62.24;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;11.1228;6.4872;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;30.550731522615308;68.1192684773847;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.548834418348065;0.0;1.7511655816519358;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.8924717945902767;0.0;0.0;42.32640356942801;32.53112463598171;0.0;0.0
RESOURCE JOB 11;0.0;0.0;0.0;0.0;3.78600802675585;1.7095101398550518;6.593006619713858;0.0;1.0754161043634731;3.856059109311765;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 12;1.8018000000000187;0.0;3.767399999999981;7.616700000000002;4.4423217391304295;2.0058578861623033;7.735920374707231;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.492826385574418;39.70237361442557;38.87480000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 14;1.0868000000000118;0.0;2.2723999999999887;4.594200000000001;2.6794956521739115;1.209882534510595;4.666110702204364;0.0;0.7611111111111093;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
