LABELS;S_4;S_14;S_2;S_0;C_14;S_11;C_4;S_12;C_2;S_9;C_11;C_12;S_7;C_9;C_7;S_6;S_10;C_6;S_8;C_0;C_10;S_3;S_1;C_3;S_5;C_8;C_1;S_13;C_5;C_13
JOB ID;4;14;2;0;14;11;4;12;2;9;11;12;7;9;7;6;10;6;8;0;10;3;1;3;5;8;1;13;5;13
EVENT TYPE;0;0;0;0;1;0;1;0;1;0;1;1;0;1;1;0;0;1;0;1;1;0;0;1;0;1;1;0;1;1
TIME;0.39;0.67;1.6299999999999923;2.256818333890931;2.2568183338909313;2.2568183338909322;3.019876879652424;3.17;3.5740258342303477;3.8799999999999955;5.745155047886875;6.412105263157885;6.412105263157886;7.438196785748611;8.855797958828516;8.855797958828518;10.399999999999986;10.4;10.4;12.766831683168318;12.875583864118882;12.875583864118886;12.875583864118887;14.106452446618073;15.8442285614925;15.8442285614925;17.613034054916042;17.613034054916042;18.417763783419943;20.308404628081917
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;2.388373248233469;3.1510842960956147;4.642256835306693;6.358143164693267;5.837935299885933;2.0875541737982637;3.2116664657089706;0.0;5.3868844577036725;0.0;25.110102058574057;28.68600000000015;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.582473361317398;0.0;0.0;24.10295471330835;0.0;32.17457192537425;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;5.8231423218468175;0.0;0.0;7.088813890124255;1.3946437880289828;3.7533999999999317;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;38.12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;13.734000000000002;19.305599999999842;6.782174372699967;0.0;0.0;13.62822562730019;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;56.265702745802855;0.0;28.294297254197147;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;52.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.70682580370827;0.0;65.49317419629173;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22.76892079207935;0.0;0.0;2.364272413865365;11.840955763642214;0.0;0.0;62.78585103041307;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;32.91998659520331;24.923929544677666;38.38608386011903;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;66.88666336633707;0.0;0.0;3.073336633663075;0.0;-1.5631940186722204e-13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 11;0.0;0.0;0.0;0.0;0.0;15.047514522416613;2.960427933254202;7.967389451022463;6.033810548977456;36.78085754432927;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.838245425188301;2.90675457481165;17.718972954925448;6.3360270450746015;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.942189170997949;74.37781082900204;0.0
RESOURCE JOB 14;0.0;28.69439999999977;18.735600000000147;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
