LABELS;S_6;S_14;C_14;C_6;S_8;S_3;S_7;C_8;S_5;C_3;S_4;S_2;C_7;C_4;C_5;S_10;C_2;C_10;S_12;S_13;C_12;S_11;C_11;S_0;C_13;S_9;S_1;C_0;C_9;C_1
JOB ID;6;14;14;6;8;3;7;8;5;3;4;2;7;4;5;10;2;10;12;13;12;11;11;0;13;9;1;0;9;1
EVENT TYPE;0;0;1;1;0;0;0;1;0;1;0;0;1;1;1;0;1;1;0;0;1;0;1;0;1;0;0;1;1;1
TIME;-1.7113439609503592e-11;0.0;1.7102937664027575;2.7209276060931864;2.88;3.34;4.513333333333328;4.513333333333328;5.139757138006601;5.36;5.360000000000001;6.689258017717682;6.689258017717682;6.96;8.27;8.469999999999995;8.747389477199121;10.104657030084908;10.289999999999997;10.549999999999986;11.840107526881717;11.84010752688172;13.189354838709672;13.189354838709674;13.589999999999986;13.659999999999998;14.45;15.158336174344585;16.659999999999997;17.46915503225806
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.636348387096518;0.0;2.2078000000003613;24.91660000000009;21.17925161290303;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.7187649153090803;52.78348347178758;40.45775161290334;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.4989484964658004;46.4002;8.647999999999797;10.662851503534398;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;13.27426666666642;0.0;23.91686086242555;8.408872470907994;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;38.569267484026085;0.0;0.0;7.090732515973912;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.7046797518289196;17.738102146494924;0.0;0.0;3.947418101676192;19.099800000000002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;13.904688320993557;-8.555076647098758e-10;49.92531167986195;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.785877867703803;0.898590876933099;10.155531255363087;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;22.797600000000017;45.39239999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.731500000000011;10.518792189017105;22.29970781098288;0.0;0.0
RESOURCE JOB 10;0.0;0.0;-7.112208084491e-10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.206622356421903;67.86337764428932;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;62.74;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.999999999999545;59.990000000000485;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.515376344086063;4.72236559139785;0.0;1.4022580645160971;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 14;71.61;-7.165397164499154e-10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.16653403287637e-10;0.0;0.0;0.0;0.0;0.0;-1.1368683772161603e-13;0.0;0.0;0.0;0.0;0.0;0.0
